,CAISO_Demand_MWh,CAISO_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_SO2,delta_NOx
2022-01-01 01:00:00,22128,469.617152,1,1,1,-70.2620419999999,-734.0,346500.0099629238,23.979476112217583,76.1796755427531
2022-01-01 02:00:00,21394,399.3551100000001,2,1,2,-70.2620419999999,-734.0,346500.0099629238,23.979476112217583,76.1796755427531
2022-01-01 03:00:00,21004,301.486908,3,1,3,-97.86820200000005,-390.0,97985.24244393967,61.36192425950611,114.74335823659419
2022-01-01 04:00:00,20881,264.397124,4,1,4,-37.08978400000001,-123.0,46882.17512189504,-5.104375102760116,-3.4026975404332234
2022-01-01 05:00:00,20983,225.893658,5,1,5,-38.50346600000003,102.0,27957.428907271475,-7.4648084979638725,-19.300956658671225
2022-01-01 06:00:00,21425,158.13594799999998,6,1,6,-67.75771,442.0,164699.68130092975,-16.05616669000659,30.163594725315193
2022-01-01 07:00:00,21992,126.705416,7,1,7,-31.430531999999985,567.0,-166910.11190725677,-3.7985705381941557,-9.311825827804796
2022-01-01 08:00:00,22096,435.569176,8,1,8,308.86376,104.0,-1098657.5236306097,14.117425300567334,-34.53087882513978
2022-01-01 09:00:00,21841,1364.3694360000002,9,1,9,928.8002600000002,-255.0,-878977.2741669491,-40.73210306866946,-138.26089954956888
2022-01-01 10:00:00,21035,1809.346812,10,1,10,444.9773759999998,-806.0,-135965.0366788716,5.386283340728596,-30.697652992584835
2022-01-01 11:00:00,20027,1871.464598,11,1,11,62.117786000000024,-1008.0,-15342.299256584141,-30.607140006683835,-67.4325993299426
2022-01-01 12:00:00,19117,1844.540954,12,1,12,-26.923643999999967,-910.0,35075.202424230054,-21.999339458755628,58.900482640528026
2022-01-01 13:00:00,18982,1855.371572,13,1,13,10.830617999999959,-135.0,161045.1544765141,4.678571696244262,80.9804149053432
2022-01-01 14:00:00,19261,1786.702212,14,1,14,-68.6693600000001,279.0,536328.9093488362,-37.138763377990244,145.10074882907975
2022-01-01 15:00:00,20267,1664.280034,15,1,15,-122.42217800000003,1006.0,829893.0173564935,-9.207747302024188,11.39810306085974
2022-01-01 16:00:00,21303,1217.95847,16,1,16,-446.32156399999985,1036.0,1144346.2974558938,35.59735023425566,94.81905785299955
2022-01-01 17:00:00,23459,293.257622,17,1,17,-924.700848,2156.0,602155.0829329835,22.714738853485926,-133.30605758080958
2022-01-01 18:00:00,25802,71.49945199999999,18,1,18,-221.75817000000004,2343.0,-257288.95778737497,-3.586863921858935,-67.791583632212
2022-01-01 19:00:00,26284,74.5763,19,1,19,3.0768480000000125,482.0,-674607.0587534504,-55.21222312089455,-204.87499165581232
2022-01-01 20:00:00,26106,89.026998,20,1,20,14.450698000000003,-178.0,-307903.32299468387,-48.85281108096552,-80.98638829257447
2022-01-01 21:00:00,25745,93.364704,21,1,21,4.337705999999997,-361.0,-34233.79547450319,0.7385846097322428,25.771434817101863
2022-01-01 22:00:00,25113,95.944302,22,1,22,2.57959799999999,-632.0,40649.102481858805,19.057504547401663,37.38388951812192
2022-01-01 23:00:00,23984,90.699776,23,1,23,-5.244525999999993,-1129.0,-121851.73971713241,-13.137810514667905,-20.16527213277834
2022-01-02 00:00:00,22829,82.17741000000001,0,1,24,-8.522365999999991,-1155.0,-295741.5532656377,-18.862200548282544,-50.47146628134328
2022-01-02 01:00:00,22011,73.7887,1,1,25,-8.388710000000003,-818.0,280682.1333270557,44.166964097084644,125.8523555018644
2022-01-02 02:00:00,21490,75.42665200000002,2,1,26,1.6379520000000127,-521.0,44679.05454051588,23.115192502121516,33.971209594101765
2022-01-02 03:00:00,21272,73.00207400000001,3,1,27,-2.424578000000011,-218.0,348433.2009834284,30.08872276506318,74.47853655472818
2022-01-02 04:00:00,21241,73.36510200000001,4,1,28,0.3630279999999999,-31.0,76026.66640134994,4.403445479382981,-20.962072309335895
